word1,word2,golden_value,model_value
opera,performance,6.88,0.0085703952284397
glass,metal,5.56,0.08234237919726882
aluminum,metal,7.83,0.0
museum,theater,7.19,0.019587080500881482
cup,food,5.00,0.018599920275055956
journal,association,4.97,0.10213841680900072
car,flight,4.94,0.05085195181750703
space,chemistry,4.88,0.0101673120900597
situation,conclusion,4.81,0.06698287350885898
word,similarity,4.75,0.02235071704940067
peace,plan,4.75,0.03731182269895995
consumer,energy,4.75,0.04946868481355393
ministry,culture,4.69,0.08558805213742818
smart,student,4.62,0.018512120272628503
investigation,effort,4.59,0.0025833513670341385
image,surface,4.56,0.023683019728623373
life,term,4.50,0.055281593465611324
start,match,4.47,0.05769558170286026
computer,news,4.47,0.06411091943029129
board,recommendation,4.47,0.02341882431065793
observation,architecture,4.38,0.01283228961891635
coast,hill,4.38,0.01505828985087723
deployment,departure,4.25,0.0
benchmark,index,4.25,0.052343633486311804
attempt,peace,4.25,0.02730695497843626
consumer,confidence,4.13,0.03275610820963756
start,year,4.06,0.10648361739673429
focus,life,4.06,0.08689308655125845
development,issue,3.97,0.03432031444814271
theater,history,3.91,0.055674594708596724
situation,isolation,3.88,0.048252250968754386
profit,warning,3.88,0.04228930884174515
chance,credibility,3.88,0.0397302984283466
precedent,information,3.85,0.004805862653520946
architecture,century,3.78,0.049770986423321194
population,development,3.75,0.05318202237739617
stock,live,3.73,0.03099233284792787
peace,atmosphere,3.69,0.0
morality,marriage,3.69,0.0
minority,peace,3.69,0.030180327640208636
atmosphere,landscape,3.69,0.0218865972060092
report,gain,3.63,0.03545010609008401
music,project,3.63,0.04375725031356652
seven,series,3.56,0.07282256512290483
experience,music,3.47,0.03828160287539729
school,center,3.44,0.0444546415677445
five,month,3.38,0.10387372769562556
announcement,production,3.38,0.033261527688492734
morality,importance,3.31,0.0
money,operation,3.31,0.04567977313354148
delay,news,3.31,0.058260517686951306
governor,interview,3.25,0.020766267532848662
practice,institution,3.19,0.06286864284219235
century,nation,3.16,0.02880116872406711
coast,forest,3.15,0.003614524871401452
drink,car,3.04,0.03941276940944287
president,medal,3.00,0.0
prejudice,recognition,3.00,0.026698517995687353
viewer,serial,2.97,0.0
peace,insurance,2.94,0.03603749138689219
precedent,cognition,2.81,0.0
announcement,effort,2.75,0.008994930399931685
line,insurance,2.69,0.01872895852169498
crane,implement,2.69,0.0
drink,mother,2.65,0.051637382172780834
opera,industry,2.63,0.01915368008134453
listing,proximity,2.56,0.0
precedent,collection,2.50,0.017955538026483888
cup,article,2.40,0.015037175226081669
sign,recess,2.38,0.016398611921125888
problem,airport,2.38,0.03301789483306039
direction,combination,2.25,0.06584389789171474
wednesday,news,2.22,0.02336369719712493
glass,magician,2.08,0.0
possibility,girl,1.94,0.05049384335650274
cup,substance,1.92,0.002961762893317729
stock,egg,1.81,0.014260833231200323
month,hotel,1.81,0.038298166957271874
energy,secretary,1.81,0.013479624257568988
precedent,group,1.77,0.0013317282704748148
production,hike,1.75,0.01921660335981096
stock,phone,1.62,0.046727003422986656
holy,sex,1.62,0.017860950331039484
stock,cd,1.31,0.008183556734532148
drink,ear,1.31,0.02537939033346509
delay,racism,1.19,0.012086536227567097
stock,life,0.92,0.05125489037529687
stock,jaguar,0.92,0.0
sugar,approach,0.88,0.02773979584350695
noon,string,0.54,0.0
chord,smile,0.54,0.0
