word1,word2,golden_value,model_value
peace,insurance,2.94,2663.042532722654
precedent,cognition,2.81,708.4846105029587
announcement,effort,2.75,5449.886062204286
line,insurance,2.69,9754.231238764929
crane,implement,2.69,3267.8387711113373
drink,mother,2.65,5116.719608773599
opera,industry,2.63,7489.174759360369
listing,proximity,2.56,938.188730127385
precedent,collection,2.50,3246.096389782384
cup,article,2.40,9920.378864289469
sign,recess,2.38,5222.397167037342
problem,airport,2.38,11106.05602144894
direction,combination,2.25,4409.6773542591345
wednesday,news,2.22,4453.460913064973
glass,magician,2.08,1374.5618984966989
possibility,girl,1.94,7757.737495042682
cup,substance,1.92,3411.8728816427138
stock,egg,1.81,4368.312683687647
month,hotel,1.81,10128.651013116663
energy,secretary,1.81,9256.138475666023
precedent,group,1.77,8008.5452645246
production,hike,1.75,5678.8436712138355
stock,phone,1.62,5740.538784273778
holy,sex,1.62,5886.420433492524
stock,cd,1.31,4264.380658143864
drink,ear,1.31,3952.269028390792
delay,racism,1.19,3016.550481348519
stock,life,0.92,21794.12322213759
stock,jaguar,0.92,3579.348855808163
sugar,approach,0.88,7674.951681328996
noon,string,0.54,3058.808040813223
chord,smile,0.54,3350.8856002954044
